Analysis	Software	Environment	Package	Citation
QC  FastQC	fastqc	fastqc	http://www.bioinformatics.babraham.ac.uk/projects/fastqc/
Filtering and trimming  FASTX-Toolkit	fastx_toolkit	fastx_toolkit	http://hannonlab.cshl.edu/fastx_toolkit/
Filtering and trimming  fastq_utils	fastq_utils	fastq_utils	https://github.com/nunofonseca/fastq_utils
Gene/transcript quantification  kallisto	kallisto	kallisto	Nicolas L Bray, Harold Pimentel, Páll Melsted, Lior Pachter. Near-optimal probabilistic RNA-seq quantification. Nature Biotechnology (2016).
